licence_key,state,licence_id,name,name_norm,address,city,zip,licence_type,expiry,lat,lon,geom,source_url,observed_at,addr_norm
NJ/ERF000012/1,NJ,ERF000012,MAYWOOD SERVICE STATION INC,MAYWOODSERVICESTATION,104 W PASSAIC ST,MAYWOOD,07607,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,104WPASSAICST
NJ/ERF000021/1,NJ,ERF000021,HOFF'S AUTOMOTIVE INC,HOFFSAUTOMOTIVE,700 GRAND AVE STE# A,HACKETTSTOWN,07840,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,700GRANDAVE
NJ/ERF000024/1,NJ,ERF000024,MIDTOWN AUTO REPAIR,MIDTOWNAUTOREPAIR,348 BROADWAY,BAYONNE,07002,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,348BROADWAY
NJ/ERF000026/1,NJ,ERF000026,AUTO SUMSER INC*,AUTOSUMSER,7-06 SADDLE RVR RD,FAIRLAWN,07410,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,706SADDLERVRRD
NJ/ERF000027/1,NJ,ERF000027,BELFIS AUTO TRUCK REP,BELFISAUTOTRUCKREP,9 FOREST AVENUE,PARAMUS,07652,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,9FORESTAVE
NJ/ERF000032/1,NJ,ERF000032,J R ROOF INC*,JRROOF,63 HAMPTON HOUSE RD,NEWTON,07860,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,63HAMPTONHOUSERD
NJ/ERF000037/1,NJ,ERF000037,HAINESPORT ENTERPRISES LLC,HAINESPORTENTERPRISES,1466 ROUTE 38 PO BOX 449,HAINESPORT,08036,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1466RT38
NJ/ERF000040/1,NJ,ERF000040,ECHELON FORD INC,ECHELONFORD,4 S WHITE HORSE PIKE,STRATFORD,08084,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,4SWHITEHORSEPIKE
NJ/ERF000044/1,NJ,ERF000044,CHERRY HILL AUTOS INC,CHERRYHILLAUTOS,1810 ROUTE 70 WEST,CHERRY HILL,08002,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1810RT70W
NJ/ERF000049/1,NJ,ERF000049,MIKES SERVICE,MIKESSERVICE,704 CROWN POINT RD,WESTVILLE,08093,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,704CROWNPOINTRD
NJ/ERF000075/1,NJ,ERF000075,LONG HILL AUTO SERVICE INC,LONGHILLAUTOSERVICE,1905 LONG HILL RD,MILLINGTON,07946,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1905LONGHILLRD
NJ/ERF000080/1,NJ,ERF000080,JACK'S SERVICE,JACKSSERVICE,1027 SUMMIT AVENUE,JERSEY CITY,07307,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1027SUMMITAVE
NJ/ERF000084/1,NJ,ERF000084,AJW INC,AJW,558 ALPS ROAD,WAYNE,07470,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,558ALPSRD
NJ/ERF000101/1,NJ,ERF000101,THE MOTOR WORKS INC,MOTORWORKS,104 STEINMETZ RD,HILLSBOROUGH,08844,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,104
NJ/ERF000106/1,NJ,ERF000106,BRIDGEWATER NISSAN INC,BRIDGEWATERNISSAN,1400 RT 22,BRIDGEWATER,08807,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1400RT22
NJ/ERF000114/1,NJ,ERF000114,GALLOWAY AUTO & TIRE CTR IN,GALLOWAYAUTOTIRECTRIN,420 NEW RD,SOMERS POINT,08244,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,420NEWRD
NJ/ERF000127/1,NJ,ERF000127,BAYVILLE AUTO CARE INC,BAYVILLEAUTOCARE,912 RTE 9,BAYVILLE,08721,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,912RT9
NJ/ERF000145/1,NJ,ERF000145,SELMONS SHELL,SELMONSSHELL,2231 S OLDEN AVE,TRENTON,08610,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,2231SOLDENAVE
NJ/ERF000169/1,NJ,ERF000169,"HAINESPORT ENTERPRISES, INC",HAINESPORTENTERPRISES,11 NORTH MAIN ST,MEDFORD,08055,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,11NMAINST
NJ/ERF000172/1,NJ,ERF000172,BENHAM'S SERVICE & GARAGE I,BENHAMSSERVICEGARAGEI,414 SPRINGFIELD AVE,BERKELEY HTS,07922,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,414SPRINGFIELDAVE
NJ/ERF000186/1,NJ,ERF000186,PRO CAT INC,PROCAT,1920 HWY 37 EAST,TOMS RIVER,08753,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1920HWY37E
NJ/ERF000203/1,NJ,ERF000203,RAYGAR INC *,RAYGAR,85 STEINER AVE,NEPTUNE CITY,07753,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,85
NJ/ERF000206/1,NJ,ERF000206,J Q AUTOMOTIVE LLC,JQAUTOMOTIVE,1050 BROAD ST,BLOOMFIELD,07003,Emission Repair Facility,,,,,https://data.nj.gov/resource/t6tk-mr48.json,2026-08-18 12:20:01.049832+00,1050BROADST
