route_id,route_name,route_ref,sign_type,sign_num,routeid_state,nn,state_fips,state,county_fips,fclass,aadt,aadt_com,through_lanes,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props
409,S 57,S 57,S,57,98700000570000001,1,18,IN,18173,3,1213,144,2,"MULTILINESTRING((-87.4569099995225 38.1960389998001,-87.4568719998877 38.1961180002587,-87.4561749997537 38.1976369998724,-87.4551789998689 38.1998250001095,-87.4546740002539 38.2007450003882,-87.45430000016 38.201290000292))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 409, ""NN"": 1, ""AADT"": 1213, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S57"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""57"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000570000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 144, ""ENDPOINT"": 1.01800001, ""FUT_AADT"": 1431, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377171, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 100, ""BEGINPOINT"": 0.62900001, ""THROUGH_LA"": 2, ""Shape__Length"": 0.005873445038116239}"
410,S 57,S 57,S,57,98700000570000001,1,18,IN,18173,3,1213,144,2,"MULTILINESTRING((-87.4572359999357 38.19536100049,-87.4569099995225 38.1960389998001))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 410, ""NN"": 1, ""AADT"": 1213, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S57"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""57"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000570000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 144, ""ENDPOINT"": 0.62900001, ""FUT_AADT"": 1431, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377172, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 100, ""BEGINPOINT"": 0.579, ""THROUGH_LA"": 2, ""Shape__Length"": 0.0007523026877549872}"
411,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,13871,383,4,"MULTILINESTRING((-87.3596359999485 38.0429589997662,-87.3592690004257 38.0429649997956,-87.3589120000503 38.0429889999082))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 411, ""NN"": 1, ""AADT"": 13871, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 383, ""ENDPOINT"": 5.77199984, ""FUT_AADT"": 16368, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377173, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 28333, ""AADT_SINGL"": 884, ""BEGINPOINT"": 5.7329998, ""THROUGH_LA"": 4, ""Shape__Length"": 0.0007248547617378575}"
412,S 61,S 61,S,61,98700000610000001,1,18,IN,18173,4,1576,46,2,"MULTILINESTRING((-87.296087000132 38.0601209998278,-87.297661000325 38.0620640002526,-87.2992880002216 38.0641809994317,-87.2998649998066 38.0649170002971,-87.3001929998697 38.0652989997629,-87.3011310000281 38.0666389996195,-87.301244000006 38.0669129995213,-87.3012909998617 38.0671000001893,-87.3013370007908 38.0675050001108,-87.3012469994808 38.0731329999331,-87.3012549998767 38.0761290004311,-87.3011699994879 38.0816050004287,-87.3010900000202 38.085281999451,-87.301059999883 38.0889889998751,-87.3010420003397 38.0892350000821,-87.3009960003089 38.0898480000166,-87.300959000499 38.091303000468))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 412, ""NN"": 1, ""AADT"": 1576, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S61"", ""CTFIPS"": 173, ""FCLASS"": 4, ""SIGNN1"": ""61"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000610000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 46, ""ENDPOINT"": 12.34000015, ""FUT_AADT"": 1734, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377174, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 30, ""BEGINPOINT"": 10.11100006, ""THROUGH_LA"": 2, ""Shape__Length"": 0.03294495788095678}"
413,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,14027,332,4,"MULTILINESTRING((-87.4010899993076 38.0278060005124,-87.4006259997004 38.0279349997766,-87.4001219999103 38.0280850000013,-87.399358999654 38.0283800002785,-87.3985000000367 38.0288129999467,-87.3975960002134 38.0293129996416,-87.3955480003674 38.0304370000998,-87.3943089999101 38.0311590004416,-87.3919580001154 38.0325040002454,-87.3900480003617 38.0335069996601,-87.3894430002892 38.0338110001454,-87.3888750000266 38.0340610003438,-87.3879259999976 38.0344389997591,-87.3871030003652 38.0347080004049))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 413, ""NN"": 1, ""AADT"": 14027, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 332, ""ENDPOINT"": 4.07800007, ""FUT_AADT"": 15430, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377175, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 661, ""BEGINPOINT"": 3.17499995, ""THROUGH_LA"": 4, ""Shape__Length"": 0.015641605033117057}"
414,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,15245,347,4,"MULTILINESTRING((-87.4086799998905 38.0261559996326,-87.4074589998748 38.0265229994599,-87.4065080001959 38.0267619997549,-87.4055369995272 38.0269499995635,-87.4046380006251 38.0271010002574,-87.4027489998895 38.0273540003053,-87.4018870007974 38.0275510001795,-87.4010899993076 38.0278060005124))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 414, ""NN"": 1, ""AADT"": 15245, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 347, ""ENDPOINT"": 3.17499995, ""FUT_AADT"": 17989, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377176, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 784, ""BEGINPOINT"": 2.74499989, ""THROUGH_LA"": 4, ""Shape__Length"": 0.007783052845859277}"
415,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,15183,426,4,"MULTILINESTRING((-87.3763259999365 38.040018999807,-87.3750249995549 38.040811000104,-87.3744839999548 38.0411019999479,-87.3738939999509 38.041400999553,-87.3732119998856 38.0417050005239,-87.3730139995188 38.0417759995797,-87.3725340000181 38.0419499995059,-87.3722729999022 38.0420370000214,-87.3714109999118 38.0422969998724,-87.3709899999623 38.0424060002537,-87.370194999919 38.0425800000978))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 415, ""NN"": 1, ""AADT"": 15183, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 426, ""ENDPOINT"": 5.15500021, ""FUT_AADT"": 16701, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377177, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 28333, ""AADT_SINGL"": 1009, ""BEGINPOINT"": 4.77400017, ""THROUGH_LA"": 4, ""Shape__Length"": 0.006690618596243081}"
416,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,14027,332,4,"MULTILINESTRING((-87.3871030003652 38.0347080004049,-87.3868710005616 38.0347840001059,-87.3846139995799 38.0356069997954,-87.3832679998908 38.0360979999884,-87.382817999629 38.0362939999546))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 416, ""NN"": 1, ""AADT"": 14027, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 332, ""ENDPOINT"": 4.33599997, ""FUT_AADT"": 15430, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377178, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 28333, ""AADT_SINGL"": 661, ""BEGINPOINT"": 4.07800007, ""THROUGH_LA"": 4, ""Shape__Length"": 0.004570091371265806}"
417,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,15183,426,4,"MULTILINESTRING((-87.3805260002839 38.037444999824,-87.3794889994929 38.0380709999737,-87.3792899993013 38.0381700002828,-87.3780280001761 38.0389770005968,-87.3778519995507 38.0390890000797,-87.3770130000247 38.0396000005876))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 417, ""NN"": 1, ""AADT"": 15183, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 426, ""ENDPOINT"": 4.72599983, ""FUT_AADT"": 16701, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377179, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 28333, ""AADT_SINGL"": 1009, ""BEGINPOINT"": 4.48400021, ""THROUGH_LA"": 4, ""Shape__Length"": 0.004122508041301672}"
418,S 62,S 62,S,62,98700000620000001,1,18,IN,18173,3,14027,332,4,"MULTILINESTRING((-87.382817999629 38.0362939999546,-87.382204000234 38.0365610006781,-87.3812019996031 38.0370559997704,-87.3805260002839 38.037444999824))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 418, ""NN"": 1, ""AADT"": 14027, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S62"", ""CTFIPS"": 173, ""FCLASS"": 3, ""SIGNN1"": ""62"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98700000620000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 332, ""ENDPOINT"": 4.48400021, ""FUT_AADT"": 15430, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 377180, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 28333, ""AADT_SINGL"": 661, ""BEGINPOINT"": 4.33599997, ""THROUGH_LA"": 4, ""Shape__Length"": 0.002567073853015281}"
