osm_id,state,state_source
node/10080863403,IA,overture
node/10082244359,ME,nearest truck route
node/10082836030,NC,overture
node/10083245629,GA,nearest truck route
node/10083245634,GA,nearest truck route
node/10083245690,GA,nearest truck route
node/10083296972,GA,overture
node/10083302056,GA,nearest truck route
node/10083302198,GA,overture
node/10083450457,GA,overture
node/10083450586,GA,overture
node/10083451018,GA,overture
node/10083451098,GA,overture
node/10083451199,GA,overture
node/10083451277,GA,overture
node/10083451464,GA,overture
node/10083451663,GA,nearest truck route
node/10083451669,GA,nearest truck route
node/10083665852,GA,overture
node/10083666275,GA,overture
node/10083666290,GA,overture
node/10083666291,GA,overture
node/10083666292,GA,overture
node/10083666300,GA,nearest truck route
node/10083666412,GA,overture
node/10083666413,GA,overture
node/10083915988,CA,overture
node/10085947417,UT,overture
node/10086895675,IL,overture
node/10087079524,AL,nearest truck route
node/10087079525,AL,overture
node/10087661374,GA,overture
node/10087677722,GA,overture
node/10087677723,GA,overture
node/10087677805,GA,nearest truck route
node/10087677890,GA,overture
node/10087677891,GA,overture
node/10087677933,GA,overture
node/10087677952,GA,overture
node/10087677972,GA,overture
node/10087926515,NY,overture
node/10087980629,NY,overture
node/10088156758,CA,overture
node/10088156760,CA,overture
node/10088291259,CA,nearest truck route
node/10088949783,GA,overture
node/10088952398,GA,overture
node/10088952508,GA,overture
node/1008904886,MN,nearest truck route
node/10089669113,GA,overture
node/10089669142,GA,overture
node/10089669238,GA,osm
node/10089669239,GA,overture
node/10089669240,GA,overture
node/10089669263,GA,overture
node/10089669264,GA,overture
node/10089791417,OH,nearest truck route
node/10090324933,GA,overture
node/10090324934,GA,overture
node/10090324937,GA,overture
node/10090324964,GA,nearest truck route
node/10090324996,GA,nearest truck route
node/10090325011,GA,overture
node/10090325013,GA,overture
node/10090325092,GA,overture
node/10090325201,GA,nearest truck route
node/10090325226,GA,nearest truck route
node/10090434916,GA,overture
node/10090458017,GA,overture
node/10090458022,GA,overture
node/10090458023,GA,overture
node/10090458027,GA,overture
node/10090458060,GA,overture
node/10090458112,GA,overture
node/10090458117,GA,overture
node/10090458207,GA,overture
node/10090458246,GA,overture
node/10090608906,SC,nearest truck route
node/10091197095,CA,osm
node/10091411762,GA,overture
node/10091411763,GA,overture
node/10091411764,GA,nearest truck route
node/10091411778,GA,overture
node/10091411780,GA,overture
node/10091411793,GA,overture
node/10091447339,GA,overture
node/10091447353,GA,nearest truck route
node/10091448432,GA,nearest truck route
node/10091448463,GA,overture
node/10091448465,GA,overture
node/10091448469,GA,nearest truck route
node/10091448672,GA,nearest truck route
node/10091448673,GA,nearest truck route
node/10091448682,GA,nearest truck route
node/10091460197,GA,overture
node/10091460207,GA,overture
node/10091469555,GA,nearest truck route
node/10091469556,GA,nearest truck route
node/10091469565,GA,overture
node/10091469572,GA,overture
node/10091524181,GA,overture
node/10091524182,GA,overture
node/10091558139,GA,nearest truck route
node/10091558150,GA,nearest truck route
node/10091591142,MI,osm
node/10093645430,GA,overture
node/10093655769,AL,overture
node/10093776754,NY,overture
node/10093776760,NY,nearest truck route
node/10094539727,IA,osm
node/1009577553,WI,overture
node/10096219166,IN,overture
node/10096464805,SC,overture
node/10097297734,GA,overture
node/10097297743,GA,overture
node/10097490111,GA,overture
node/10097545478,GA,overture
node/10097545653,GA,overture
node/10097545665,GA,overture
node/10097546348,GA,overture
node/10097654863,GA,overture
node/10097655060,GA,nearest truck route
node/10097655174,GA,overture
node/10097655193,GA,overture
node/10097655194,GA,overture
node/10097979918,GA,overture
node/10097979933,GA,overture
node/10097979941,GA,nearest truck route
node/10097980048,GA,nearest truck route
node/10097980053,GA,overture
node/10097980155,GA,overture
node/10097980156,GA,overture
node/10097991639,TN,overture
node/10100541706,MO,nearest truck route
node/10101108781,GA,overture
node/10101109164,GA,overture
node/10101115276,NY,nearest truck route
node/10101197160,GA,overture
node/10101197166,GA,overture
node/10101361291,SC,overture
node/10102270333,AL,overture
node/10102351796,SC,overture
node/10102519223,CO,overture
node/10102684711,NC,overture
node/10102685746,NC,overture
node/10103719048,NC,osm
node/10104481406,LA,nearest truck route
node/10104563143,SC,nearest truck route
node/10106945415,SC,overture
node/10107103248,GA,overture
node/10107103310,GA,overture
node/10107103311,GA,nearest truck route
node/10107103339,GA,nearest truck route
node/10107103618,GA,nearest truck route
node/10108040655,GA,nearest truck route
node/10108040678,GA,overture
node/10108040683,GA,overture
node/10108063232,SC,nearest truck route
node/10109000591,CA,osm
node/10109011657,CA,osm
node/10109335507,SC,nearest truck route
node/10109335508,SC,nearest truck route
node/10109335605,GA,overture
node/10109335611,GA,nearest truck route
node/10109335617,GA,nearest truck route
node/10109748236,SC,overture
node/10109748238,SC,overture
node/10109748474,SC,overture
node/10109748551,SC,overture
node/10109748576,SC,overture
node/10109748638,SC,overture
node/10109748639,SC,overture
node/10109776613,IL,overture
node/1011125368,CA,overture
node/10111384990,NC,overture
node/10111643179,TX,overture
node/10111643183,TX,overture
node/10111688644,CO,nearest truck route
node/10111716657,TX,nearest truck route
node/10111861315,CA,overture
node/10114622195,NY,osm
node/10115000773,PA,overture
node/10115338039,CA,overture
node/10115621544,AL,overture
node/10116453028,NY,osm
node/10116453029,NY,osm
node/10118191613,GA,nearest truck route
node/10118191939,GA,overture
node/10118191940,GA,overture
node/10118191965,GA,overture
node/10118797889,NY,overture
node/1011881548,AK,overture
node/10118905320,GA,overture
node/10118905376,GA,overture
node/10118905494,GA,overture
node/10119228856,CA,overture
node/10119466868,TN,overture
node/1012125738,WV,nearest truck route
node/1012126356,WV,overture
node/10121282620,NH,overture
node/10121672072,SC,overture
node/10121672116,SC,overture
node/10121729545,SC,nearest truck route
