way_id,highway,name,ref,maxheight_in,maxweight_lb,hgv,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,oneway,maxlength_in,maxwidth_in,bridge,tunnel
14253421,residential,Wilkinson Drive,,,,,"LINESTRING(-75.747521 39.767367,-75.747574 39.76733,-75.74779 39.767117,-75.747921 39.76701,-75.747996 39.766965,-75.748081 39.766925,-75.748177 39.766891,-75.748299 39.766861,-75.748552 39.766833,-75.748838 39.766794,-75.749417 39.766694,-75.750001 39.766566,-75.750119 39.766546,-75.750262 39.766539,-75.750413 39.766551,-75.750645 39.766598,-75.750732 39.766626,-75.750816 39.766669,-75.751167 39.766895,-75.751395 39.767055,-75.751611 39.767224,-75.751791 39.76739,-75.751937 39.767533,-75.752076 39.767695,-75.752346 39.768072,-75.752469 39.768261,-75.752579 39.768408,-75.752657 39.768496,-75.752702 39.768529,-75.752781 39.768577,-75.752872 39.768619,-75.752956 39.76865,-75.753135 39.768694,-75.753265 39.768711,-75.753377 39.768713,-75.753455 39.768708,-75.753535 39.768695,-75.753615 39.768673,-75.753772 39.768618,-75.753924 39.76854,-75.754129 39.768377,-75.754334 39.768176,-75.7544557 39.7680394,-75.754522 39.767965,-75.754631 39.767819,-75.754734 39.767676,-75.754797 39.767565)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Wilkinson Drive"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Chester, PA"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""19350"", ""tiger:name_base"": ""Wilkinson"", ""tiger:name_type"": ""Dr"", ""tiger:zip_right"": ""19350""}",,,,,
14253463,residential,Hart Drive,,,,,"LINESTRING(-75.712172 39.7998575,-75.7122303 39.8002994,-75.712312 39.800918,-75.712309 39.800999,-75.712287 39.801076,-75.712248 39.801175,-75.712226 39.801217,-75.712185 39.801275,-75.712149 39.801315,-75.712027 39.801407,-75.711944 39.801439,-75.711874 39.801454)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Hart Drive"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Chester, PA"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""19311"", ""tiger:name_base"": ""Hart"", ""tiger:name_type"": ""Dr"", ""tiger:zip_right"": ""19311""}",,,,,
14253524,residential,Sycamore Lane,,,,,"LINESTRING(-75.623907 39.832783,-75.6239722 39.8328812,-75.624007 39.8329336,-75.624083 39.833048,-75.624162 39.833081,-75.624248 39.833101,-75.624344 39.833105,-75.624871 39.833056,-75.624951 39.833064,-75.625028 39.833089,-75.625087 39.833122,-75.625215 39.833247,-75.625241 39.833284,-75.625289 39.83332,-75.625446 39.833378)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Sycamore Lane"", ""access"": ""private"", ""highway"": ""residential"", ""tiger:cfcc"": ""A74"", ""tiger:county"": ""Chester, PA"", ""tiger:reviewed"": ""no"", ""tiger:name_base"": ""Sycamore"", ""tiger:name_type"": ""Ln""}",,,,,
14254625,residential,Skyview Lane,,,,,"LINESTRING(-75.715195 39.79491,-75.715376 39.794479,-75.715414 39.7944,-75.715448 39.794344,-75.715489 39.7943,-75.715579 39.794224,-75.71571 39.794147,-75.715771 39.794116,-75.715934 39.794058,-75.716143 39.794001,-75.716274 39.793971,-75.716398 39.79393,-75.716566 39.79386,-75.716628 39.79383,-75.7168742 39.7936834,-75.717315 39.793421)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Skyview Lane"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Chester, PA"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""19311"", ""tiger:name_base"": ""Skyview"", ""tiger:name_type"": ""Ln"", ""tiger:zip_right"": ""19311""}",,,,,
14257030,residential,Lee Road,,,,,"LINESTRING(-75.6945903 39.8062821,-75.6944632 39.8066639,-75.694406 39.8068357,-75.6943073 39.8071322,-75.6942616 39.8072428)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Lee Road"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Chester, PA"", ""tiger:zip_left"": ""19348"", ""tiger:name_base"": ""Lee"", ""tiger:name_type"": ""Rd"", ""tiger:zip_right"": ""19348""}",,,,,
14257194,unclassified,Arc Corner Road,,,,,"LINESTRING(-75.7750856 39.727558,-75.775245 39.728281,-75.775315 39.728696,-75.775358 39.728894,-75.775477 39.729251,-75.775747 39.729912,-75.77588 39.730273,-75.775948 39.730481,-75.77602 39.730883,-75.776163 39.731502,-75.776283 39.732046,-75.77634 39.7323274,-75.776401 39.732629,-75.776436 39.732738)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Arc Corner Road"", ""highway"": ""unclassified"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Chester, PA"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""19350"", ""tiger:name_base"": ""Arc Corner"", ""tiger:name_type"": ""Rd"", ""tiger:zip_right"": ""19350""}",,,,,
17208155,residential,Nomad Trail,,,,,"LINESTRING(-75.5353019 39.1048057,-75.5353002 39.105243,-75.535241 39.1054634,-75.5351554 39.1056176,-75.5350583 39.1057533,-75.534925 39.1058832,-75.5342231 39.1064029)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Nomad Trail"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Kent, DE"", ""tiger:reviewed"": ""no"", ""tiger:zip_left"": ""19934"", ""tiger:name_base"": ""Nomad"", ""tiger:name_type"": ""Trl"", ""tiger:zip_right"": ""19934""}",,,,,
17208157,residential,Tina Drive,,,,,"LINESTRING(-75.5230782 39.1073304,-75.524433 39.107519)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Tina Drive"", ""source"": ""Bing"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""source:date"": ""2010-06/2011-05"", ""tiger:county"": ""Kent, DE"", ""tiger:zip_left"": ""19901"", ""tiger:name_base"": ""Tina"", ""tiger:name_type"": ""Dr"", ""tiger:zip_right"": ""19901""}",,,,,
17208158,residential,Glen Forest Drive,,,,,"LINESTRING(-75.5385872 39.0529393,-75.5386716 39.0531049,-75.5387116 39.0532291,-75.5387382 39.0533429,-75.5387382 39.0535223,-75.5386894 39.0536568,-75.5384816 39.0540481,-75.5380086 39.0550897,-75.5379044 39.0553075,-75.5378232 39.0554504,-75.5376944 39.0555918,-75.5375481 39.0557118,-75.536615 39.0564093,-75.5365529 39.0564576,-75.5364773 39.0564886,-75.536353 39.0565507,-75.5362362 39.0565751,-75.5358555 39.0566439,-75.53578 39.0566714,-75.5356956 39.0567094,-75.5356378 39.0567473,-75.5351459 39.0570684,-75.5345698 39.0575169)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""Glen Forest Drive"", ""highway"": ""residential"", ""tiger:cfcc"": ""A41"", ""tiger:county"": ""Kent, DE"", ""tiger:reviewed"": ""no"", ""tiger:name_base"": ""Glen Forest"", ""tiger:name_type"": ""Dr""}",,,,,
17208161,residential,West Mispillion Street,,,,,"LINESTRING(-75.5795435 38.921972,-75.5801069 38.9222615,-75.5802479 38.9223354,-75.5803934 38.9223959,-75.5823493 38.9223555,-75.5855004 38.9222904,-75.5875013 38.9222491)",osm_ways,7887,2026-08-17 09:08:42.747958+00,2026-07-26 20:21:05+00,,,,,,{},"{""name"": ""West Mispillion Street"", ""oneway"": ""no"", ""highway"": ""residential"", ""surface"": ""asphalt""}",no,,,,
