site_id,kind,name,state,truck_spaces,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props,last_seen_at,last_seen_src,liveness,live_state,live_presence,live_sources,live_corrob,live_reasons
1823,public_rest_area,I-90 MM 60 Turnout westbound,WY,5,POINT(-106.631005000225 44.3391750001281),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Johnson"", ""OBJECTID"": 1823, ""latitude"": 44.339175, ""longitude"": -106.631005, ""mile_post"": ""MM 60"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""I-90 MM 60 Turnout westbound"", ""number_of_spots"": 5}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1824,public_rest_area,East Sundance Rest Area,WY,6,POINT(-104.340801000159 44.4140659998054),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Crook"", ""OBJECTID"": 1824, ""latitude"": 44.414066, ""longitude"": -104.340801, ""mile_post"": ""Exit 189"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""East Sundance Rest Area"", ""number_of_spots"": 6}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1825,public_rest_area,Aladdin NE Wyoming Info Center and Rest Area,WY,12,POINT(-104.205751000443 44.5279199999618),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Crook"", ""OBJECTID"": 1825, ""latitude"": 44.52792, ""longitude"": -104.205751, ""mile_post"": ""Exit 199"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""Aladdin NE Wyoming Info Center and Rest Area"", ""number_of_spots"": 12}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1826,public_rest_area,I-90 MM 39 Turnout Westbound,WY,5,POINT(-106.840722999594 44.5970890000895),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Sheridan"", ""OBJECTID"": 1826, ""latitude"": 44.597089, ""longitude"": -106.840723, ""mile_post"": ""MM 39"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""I-90 MM 39 Turnout Westbound"", ""number_of_spots"": 5}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1827,public_rest_area,I-90 MM 30 Turnout Eastbound,WY,5,POINT(-106.908855999898 44.701300999848),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Sheridan"", ""OBJECTID"": 1827, ""latitude"": 44.701301, ""longitude"": -106.908856, ""mile_post"": ""MM 30"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""I-90 MM 30 Turnout Eastbound"", ""number_of_spots"": 5}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1828,public_rest_area,Fifth Street Rest Area,WY,15,POINT(-106.932323999808 44.8054969998286),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Sheridan"", ""OBJECTID"": 1828, ""latitude"": 44.805497, ""longitude"": -106.932324, ""mile_post"": ""Exit 23"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""Fifth Street Rest Area"", ""number_of_spots"": 15}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1829,public_rest_area,I-90 MM 0 Turnout Eastbound,WY,5,POINT(-107.298610999591 44.9986109998708),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WY"", ""county"": ""Sheridan"", ""OBJECTID"": 1829, ""latitude"": 44.998611, ""longitude"": -107.298611, ""mile_post"": ""MM 0"", ""municipality"": ""NA"", ""state_number"": ""56"", ""highway_route"": ""I-90"", ""nhs_rest_stop"": ""I-90 MM 0 Turnout Eastbound"", ""number_of_spots"": 5}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
183,public_rest_area,CT Service Plaza-Darien NB,CT,20,POINT(-73.4612370001438 41.0804649999278),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""CT"", ""county"": ""Fairfield"", ""OBJECTID"": 183, ""latitude"": 41.080465, ""longitude"": -73.461237, ""mile_post"": ""12"", ""municipality"": ""Darien"", ""state_number"": ""09"", ""highway_route"": ""I-95N"", ""nhs_rest_stop"": ""CT Service Plaza-Darien NB"", ""number_of_spots"": 20}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1830,public_rest_area,NHS Rest Stop or Truck Facility 74,MI,6,POINT(-87.3627049997936 46.5042933297807),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""MI"", ""county"": ""NA"", ""OBJECTID"": 1830, ""latitude"": 46.50429333, ""longitude"": -87.362705, ""mile_post"": ""NA"", ""municipality"": ""NA"", ""state_number"": ""26"", ""highway_route"": ""US41"", ""nhs_rest_stop"": ""NHS Rest Stop or Truck Facility 74"", ""number_of_spots"": 6}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
1831,public_rest_area,Rest Area,WV,13,POINT(-81.0808869999375 37.4864579998671),ntad_parking,18,2026-07-22 08:31:07.98657+00,2019-01-01 00:00:00+00,68,95,17,100,50,{},"{""state"": ""WV"", ""county"": "" "", ""OBJECTID"": 1831, ""latitude"": 37.486458, ""longitude"": -81.080887, ""mile_post"": "" "", ""municipality"": "" "", ""state_number"": ""54"", ""highway_route"": ""I-77S"", ""nhs_rest_stop"": ""Rest Area"", ""number_of_spots"": 13}",2019-01-01 00:00:00+00,ntad_parking,44,unknown,59,50,0,{}
